learn_type,algo_type,model,num_hp,eval_type,iteration,eval_score,Learning Rate,Reward Decay
Reinforcement Learning,Gaussian,Bandit,1,Score,85,11.7,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,86,7.2,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,87,-0.8,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,88,14.4,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,89,-2.3,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,90,11.0,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,91,10.4,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,92,2.5,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,93,1.7,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,94,5.3,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,95,3.9,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,96,12.2,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,97,5.6,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,98,13.3,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,99,14.3,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,100,14.1,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,101,3.5,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,102,1.7,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,103,-0.4,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,104,2.5,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,105,-1.3,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,106,2.9,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,107,-3.6,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,108,7.9,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,109,8.1,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,110,19.5,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,111,-1.2,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,112,7.4,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,113,-1.5,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,114,6.7,4.0,
