learn_type,algo_type,model,num_hp,eval_type,iteration,hp1,hp2,eval_score
Reinforcement Learning,Gaussian,Bandit,1,Score,32,0.001,,-0.1
Reinforcement Learning,Gaussian,Bandit,1,Score,33,1.001,,-1.3
Reinforcement Learning,Gaussian,Bandit,1,Score,32,0.027,,-2.4
Reinforcement Learning,Gaussian,Bandit,1,Score,33,0.001,,0.7
Reinforcement Learning,Gaussian,Bandit,1,Score,34,1.001,,1.6
Reinforcement Learning,Gaussian,Bandit,1,Score,33,0.041,,1.9
Reinforcement Learning,Gaussian,Bandit,1,Score,34,0.001,,4.1
Reinforcement Learning,Gaussian,Bandit,1,Score,35,1.001,,3.7
Reinforcement Learning,Gaussian,Bandit,1,Score,34,0.019,,-1.9
Reinforcement Learning,Gaussian,Bandit,1,Score,35,0.001,,1.6
Reinforcement Learning,Gaussian,Bandit,1,Score,36,1.001,,3.6
Reinforcement Learning,Gaussian,Bandit,1,Score,35,0.052000000000000005,,2.5
Reinforcement Learning,Gaussian,Bandit,1,Score,36,0.001,,-1.3
Reinforcement Learning,Gaussian,Bandit,1,Score,37,1.001,,1.8
Reinforcement Learning,Gaussian,Bandit,1,Score,36,0.066,,-2.9
Reinforcement Learning,Gaussian,Bandit,1,Score,37,1.001,,-0.2
Reinforcement Learning,Gaussian,Bandit,1,Score,38,0.001,,-0.4
Reinforcement Learning,Gaussian,Bandit,1,Score,37,0.038,,-0.5
Reinforcement Learning,Gaussian,Bandit,1,Score,38,1.001,,-1.4
Reinforcement Learning,Gaussian,Bandit,1,Score,38,0.058,,1.1
Reinforcement Learning,Gaussian,Bandit,1,Score,39,0.001,,1.1
Reinforcement Learning,Gaussian,Bandit,1,Score,40,1.001,,2.4
Reinforcement Learning,Gaussian,Bandit,1,Score,39,0.032,,1.0
Reinforcement Learning,Gaussian,Bandit,1,Score,40,1.001,,2.0
Reinforcement Learning,Gaussian,Bandit,1,Score,41,0.001,,1.8
Reinforcement Learning,Gaussian,Bandit,1,Score,40,0.079,,-2.0
Reinforcement Learning,Gaussian,Bandit,1,Score,41,1.001,,3.9
Reinforcement Learning,Gaussian,Bandit,1,Score,42,0.001,,2.8
Reinforcement Learning,Gaussian,Bandit,1,Score,41,0.077,,-1.4
Reinforcement Learning,Gaussian,Bandit,1,Score,42,1.001,,5.0
Reinforcement Learning,Gaussian,Bandit,1,Score,43,0.001,,-0.2
Reinforcement Learning,Gaussian,Bandit,1,Score,42,0.025,,-0.4
Reinforcement Learning,Gaussian,Bandit,1,Score,43,0.001,,1.2
Reinforcement Learning,Gaussian,Bandit,1,Score,44,1.001,,2.5
Reinforcement Learning,Gaussian,Bandit,1,Score,43,0.032,,2.3
Reinforcement Learning,Gaussian,Bandit,1,Score,44,1.001,,0.7
Reinforcement Learning,Gaussian,Bandit,1,Score,45,0.001,,2.9
Reinforcement Learning,Gaussian,Bandit,1,Score,44,0.06,,-0.4
Reinforcement Learning,Gaussian,Bandit,1,Score,45,0.001,,-1.3
Reinforcement Learning,Gaussian,Bandit,1,Score,46,1.001,,4.7
Reinforcement Learning,Gaussian,Bandit,1,Score,45,0.032,,7.9
Reinforcement Learning,Gaussian,Bandit,1,Score,46,1.001,,-1.0
Reinforcement Learning,Gaussian,Bandit,1,Score,46,0.015,,1.11022302463e-16
Reinforcement Learning,Gaussian,Bandit,1,Score,47,1.001,,0.1
Reinforcement Learning,Gaussian,Bandit,1,Score,48,0.001,,-1.3
Reinforcement Learning,Gaussian,Bandit,1,Score,47,0.099,,0.5
Reinforcement Learning,Gaussian,Bandit,1,Score,48,1.001,,1.6
Reinforcement Learning,Gaussian,Bandit,1,Score,49,0.001,,4.9
Reinforcement Learning,Gaussian,Bandit,1,Score,48,0.02,,2.0
Reinforcement Learning,Gaussian,Bandit,1,Score,49,1.001,,-0.1
Reinforcement Learning,Gaussian,Bandit,1,Score,50,0.001,,-0.4
Reinforcement Learning,Gaussian,Bandit,1,Score,49,0.017,,-0.1
Reinforcement Learning,Gaussian,Bandit,1,Score,50,1.001,,2.0
Reinforcement Learning,Gaussian,Bandit,1,Score,51,0.001,,0.2
Reinforcement Learning,Gaussian,Bandit,1,Score,50,0.044,,3.4
Reinforcement Learning,Gaussian,Bandit,1,Score,51,1.001,,0.6
Reinforcement Learning,Gaussian,Bandit,1,Score,51,0.074,,1.2
Reinforcement Learning,Gaussian,Bandit,1,Score,52,1.001,,2.1
Reinforcement Learning,Gaussian,Bandit,1,Score,53,0.001,,6.4
Reinforcement Learning,Gaussian,Bandit,1,Score,52,0.038,,-2.1
Reinforcement Learning,Gaussian,Bandit,1,Score,53,1.001,,3.3
Reinforcement Learning,Gaussian,Bandit,1,Score,54,0.001,,0.3
Reinforcement Learning,Gaussian,Bandit,1,Score,53,0.048,,2.0
Reinforcement Learning,Gaussian,Bandit,1,Score,54,1.001,,3.3
Reinforcement Learning,Gaussian,Bandit,1,Score,55,0.001,,3.6
Reinforcement Learning,Gaussian,Bandit,1,Score,54,0.082,,0.0
Reinforcement Learning,Gaussian,Bandit,1,Score,55,0.069,,-2.2
Reinforcement Learning,Gaussian,Bandit,1,Score,56,1.001,,2.4
Reinforcement Learning,Gaussian,Bandit,1,Score,57,0.001,,1.1
Reinforcement Learning,Gaussian,Bandit,1,Score,56,0.084,,2.4
Reinforcement Learning,Gaussian,Bandit,1,Score,57,1.001,,3.4
Reinforcement Learning,Gaussian,Bandit,1,Score,58,0.001,,4.2
Reinforcement Learning,Gaussian,Bandit,1,Score,57,0.061,,-1.6
Reinforcement Learning,Gaussian,Bandit,1,Score,58,1.001,,-1.7
Reinforcement Learning,Gaussian,Bandit,1,Score,59,0.001,,2.0
