trial_number,learning_rate,final_score
0,0.9971,204.5
1,0.0289,224.8
2,1.0001,235.1
3,0.0001,213.5
4,0.4272,246.1
5,0.0001,234.6
6,0.4349,213.3
7,0.0001,68.2
8,0.5972,122.5
9,0.298,235.2
10,0.2079,239.3
11,0.0001,239
12,0.4572,78.9
13,0.0001,222
14,0.0199,242.5
15,0.5927,254
16,0.0001,70.4
17,0.0001,204.5
18,0.1359,229.8
19,0.0001,225.4
20,0.5016,196
21,0.0001,243.5
22,0.5054,117.2
23,0.0001,218.6
24,0.5151,236.4
25,0.0793,244.3
26,0.0001,224.5
27,0.0001,77
28,1.0001,240.3
29,0.097,219.2
30,0.3017,227.8
31,0.3336,93.1
32,0.2208,228.9
33,0.0001,229.5
34,0.7635,233.6
35,0.0001,214.4
36,0.3033,230.2
37,0.0001,60.9
38,0.3106,216.7
39,0.6602,208.4
40,0.2956,227.6
41,0.4271,246.6
42,0.7693,60.1
43,0.0001,243.8
44,0.7966,250.7
45,0.0001,218.1
46,0.0001,205.9
47,0.3128,220.7
48,0.0001,205.7
49,0.3677,225
50,0.0484,231.1
51,0.0001,204
52,0.2954,237.7
53,0.588,234.9
54,0.5552,221.2
55,0.0001,211.5
56,0.6581,77.3
57,1.0001,212.6
58,0.0001,207.6
59,0.2504,226.7
60,0.3082,224.2
61,0.1263,236.1
62,0.2011,228.5
63,0.0001,228.3
64,0.6295,222.6
65,0.6105,222.4
66,0.0001,237.9
67,0.7274,69.8
68,0.148,234.4
69,0.0001,203.4
70,0.0001,226.3
71,0.0262,219.7
72,0.8352,75.3
73,0.1411,176.3
74,1.0001,238.1
75,0.808,218
76,1.0001,215.1
77,0.7771,230.2
78,0.1501,40.3
79,0.175,227.4
80,0.0001,53.4
81,0.0001,212.8
82,0.4434,235.2
83,0.0265,62.8
84,1.0001,242.1
85,0.284,248.6
86,0.6609,208.6
87,0.0001,248.5
88,0.2871,209.7
89,0.8969,205.9
90,0.3512,200.6
91,1.0001,90.3
92,0.7429,230.3
93,0.5177,245.3
94,1.0001,236.6
95,0.2151,216.4
96,0.5529,234
97,0.0001,222.2
98,0.1874,62.8
99,0.0001,64
100,0.0224,237.3
101,0.0001,64.9
102,0.8418,237.2
103,0.2915,242.5
104,0.0719,219.5
105,0.7417,217
106,0.2592,229.4
107,0.0001,231.8
108,1.0001,224.1
109,0.8491,238.1
110,0.9545,218
111,0.609,241.3
112,0.2087,227.9
113,0.0001,224.9
114,0.9918,248
115,0.9943,233.9
116,0.0001,190.2
117,0.7999,228.1
118,0.2173,67
119,0.4118,207.4
120,0.5154,223.6
121,0.74,194.7
122,0.509,213.3
123,0.083,66.5
124,0.9039,180.7
125,0.0943,257.1
126,0.9645,222.4
127,0.0001,242.4
128,0.1774,227
129,0.0001,226.3
130,0.4685,199.4
131,0.0001,135.1
132,0.3165,224.2
133,0.7519,221.4
134,0.2484,242.6
135,0.0001,259.8
136,0.3019,173.5
137,0.0001,247.4
138,0.1425,220.3
139,0.0001,229.1
140,0.0001,228.1
141,0.0292,201.1
142,0.0792,255.2
143,0.0555,246.5
144,0.3802,226.6
145,0.7258,186.3
146,0.2995,212.9
147,0.3641,233.3
148,0.5627,108.5
149,0.0001,240.7
150,0.0001,238.6
151,0.0001,213.1
152,0.0001,190.2
153,0.7642,254.3
154,0.0016,79.6
155,0.6661,230.7
156,0.0001,238.4
157,0.4123,219.8
158,1.0001,242.2
159,0.4102,181.3
160,0.0001,230.3
161,0.8822,211.2
162,0.1263,249.2
163,0.0001,262.2
164,0.0001,211.8
165,0.0941,202.4
166,0.0001,222
167,0.0161,193.4
168,0.352,236.4
169,0.0001,212.2
170,0.8795,224.4
171,0.0001,209.8
172,1.0001,246.5
173,0.4798,228.5
174,0.2734,191
175,0.0001,251.2
176,0.1774,82.5
177,0.2142,100
178,0.0606,245.2
179,0.0001,226.1
180,0.0001,210.6
181,0.0001,244.7
182,0.1074,223.2
183,0.0001,210
184,0.0756,226.1
185,0.8485,207.1
186,0.4253,66.6
187,0.0001,239.2
188,0.1721,205.4
189,0.0001,229.4
190,0.4263,249.3
191,0.3181,237.1
192,0.0001,178.1
193,0.0001,201.2
194,0.0913,237.7
195,0.9285,240.7
196,0.6116,218.3
197,0.4052,131.5
198,1.0001,236.6
199,0.133,215.9
200,0.3309,228.3
201,0.0301,233.5
202,0.2168,236
203,0.0001,219
204,0.1452,226.8
205,0.6191,236.6
206,0.9736,215.6
207,0.939,219.8
208,0.0307,262
209,0.0209,65.9
210,0.4149,238.3
211,0.3321,231.7
212,0.5662,213
213,0.1875,236.2
214,0.2929,223.2
215,0.7379,192.3
216,0.4714,225.9
217,0.4877,234.6
218,0.015,214.5
219,0.8136,238.1
220,0.2089,231.6
221,0.0001,247
222,0.9413,210.1
223,0.3215,248.8
224,0.0348,204.9
225,0.0001,248.2
226,0.6334,241
227,0.0001,61.2
228,0.0206,70.6
229,0.0001,215.4
230,0.8867,218.6
231,0.9728,65.7
232,0.0001,257.3
233,0.6778,202.7
234,0.0001,210.8
235,0.0001,217.3
236,0.0001,217.8
237,0.0001,73.8
238,0.3506,224.2
239,0.0001,217.9
240,0.8257,81.2
241,0.3057,228.1
242,0.0001,188.4
243,0.0001,226.2
244,0.0477,213.1
245,1.0001,71.7
246,0.0001,64.5
247,0.359,250.8
248,1.0001,221.6
249,0.4732,237.4
250,0.3469,219.7
251,0.9248,250.3
252,0.2222,209.4
253,0.7628,244.4
254,0.0001,239.7
255,0.7903,225.1
256,1.0001,230
257,1.0001,231.3
258,0.162,238.7
259,0.1273,120.1
260,1.0001,227.3
261,0.0001,237.5
262,0.0001,213.3
263,0.2043,222.4
264,0.0001,194
265,0.0001,220.2
266,0.3228,91.5
267,1.0001,220.3
268,0.778,206.5
269,0.0001,224.3
270,0.0001,248.3
271,0.0001,250.3
272,0.4133,220
273,0.0001,68
274,0.0001,230
275,0.0001,227.2
276,0.5042,230.2
277,0.7016,59.7
278,0.0001,246.6
279,0.9814,235.3
280,0.0652,220
281,0.504,214.9
282,0.7049,231.9
283,0.0001,86.7
284,0.0001,227.5
285,0.6528,230.2
286,0.0001,246.9
287,0.1838,72.5
288,0.7397,200.1
289,0.0001,234.5
290,0.0001,220.3
291,0.1138,105.6
292,0.897,232.2
293,0.0001,202
294,0.912,221.2
295,0.5785,212.7
296,0.0173,227.8
297,0.0001,211.9
298,0.6534,192.7
299,0.5737,229.8
300,0.8623,224
301,0.3636,47.3
302,0.7484,208.1
303,0.4232,249.2
304,0.6099,154.6
305,0.0065,211.8
306,0.0001,220.3
307,0.9119,215
308,0.8174,229.5
309,0.315,217.6
310,1.0001,251.5
311,0.1881,203
312,0.0474,199
313,0.0001,238.9
314,1.0001,199.3
315,0.0001,231.2
316,0.0033,220.6
317,0.0001,232.3
318,0.0001,183.9
319,0.5833,217.7
320,0.0001,217.1
321,0.0001,220.4
322,0.763,231.2
323,0.0001,235.3
324,0.5704,237.5
325,0.944,98.6
326,1.0001,223.2
327,0.0001,210.7
328,0.0001,189.2
329,0.0001,72.8
330,0.3744,233.9
331,0.6557,216.2
332,0.6996,194.3
333,0.1756,209.9
334,0.6345,222.7
335,0.7209,205.1
336,0.4633,233.5
337,0.0001,181.4
338,0.8582,210.7
339,0.0001,251
340,0.5305,220
341,0.0027,215.7
342,0.0001,239.6
343,0.0001,238.7
344,0.0001,235.1
345,0.0631,213.9
346,0.8046,206.7
347,0.4481,256.9
348,0.0001,225.2
349,1.0001,222.8
350,0.0001,213.2
351,1.0001,245.5
352,0.078,208.8
353,0.0001,225.1
354,0.0001,205.8
355,0.5067,205.6
356,0.3982,180
357,0.0001,219
358,1.0001,227.9
359,0.0001,212.5
360,0.0001,217.6
361,0.2753,237.7
362,0.5294,229.3
363,0.278,227.2
364,0.9771,83.1
365,0.0701,121
366,0.0105,216.6
367,0.4201,244.3
368,0.8028,180.5
369,0.6224,77.3
370,0.4278,212.4
371,0.708,225.4
372,0.0694,222.1
373,0.4195,259.7
374,0.8175,230.3
375,0.685,211.4
376,0.0001,218.1
377,0.9467,262.3
378,0.0473,221.9
379,0.2119,179
380,0.5322,225.9
381,0.6601,249.2
382,0.4921,208.6
383,0.9762,245
384,0.521,223.9
385,0.9103,83
386,0.2523,59.8
387,0.0688,229
388,0.0001,218.4
389,0.3782,227.8
390,0.3728,252.5
391,0.0001,213.1
392,0.8651,63.6
393,0.0001,205.8
394,0.0001,218.3
395,0.0001,259
396,0.0204,230.5
397,0.7942,237.3
398,0.2185,216
399,0.788,218.6
400,0.7774,201.9
401,0.0001,208.8
402,0.1218,197.4
403,0.986,229.7
404,0.144,228.4
405,1.0001,222.1
406,0.8886,189.9
407,1.0001,81.3
408,0.0001,226.9
409,0.0001,221.7
410,0.0001,233.8
411,0.0001,226.4
412,0.0001,240.4
413,0.0851,232.1
414,0.029,218.2
415,0.8711,242.3
416,0.528,227.2
417,0.0001,68
418,0.4509,217.9
419,0.0001,221.1
420,0.0001,236.1
421,0.0001,230.3
422,0.2721,261
423,0.4742,226.2
424,1.0001,228
425,0.3308,76.8
426,0.889,201.8
427,0.0001,239.6
428,0.6583,183.9
429,0.0001,212.3
430,0.8433,224.1
431,0.0001,226
432,0.0001,224
433,0.0701,76.8
434,0.2068,220.3
435,0.7414,222.5
436,0.0681,206.2
437,0.0678,65
438,0.4588,237.3
439,0.0815,233.2
440,0.0045,243.5
441,0.0001,262.3
442,0.7778,219.3
443,0.0001,218.1
444,0.0001,215.7
445,0.614,243.7
446,0.0001,211.1
447,0.68,225.4
448,0.0001,219.2
449,0.1336,222
450,0.0001,264.2
451,0.0001,222.4
452,0.0382,209.6
453,0.0001,73.9
454,0.0001,196
455,0.0001,216.5
456,0.0001,234.6
457,0.0001,218.1
458,0.3608,226.7
459,0.0001,249.6
460,0.1544,77.9
461,0.6278,230.5
462,0.153,217.5
463,0.0001,229.1
464,0.7533,197
465,0.0001,212.5
466,0.0036,200.4
467,0.4775,235.4
468,0.1839,230.1
469,0.0001,225.9
470,0.3675,231.6
471,0.0001,216.8
472,0.0001,213.1
473,0.3854,213.8
474,0.1706,230.1
475,0.0001,68.5
476,0.0001,225.5
477,0.0001,228.9
478,0.8838,219.4
479,1.0001,243
480,0.2227,224.2
481,0.6088,237.9
482,0.0001,209.9
483,0.149,255
484,0.7263,207.6
485,0.0001,196.7
486,0.6431,213.3
487,0.4114,246.7
488,0.0001,221.3
489,0.0995,206.6
490,0.4595,213.2
491,0.5862,235.2
492,0.0001,222.1
493,0.6158,219.3
494,0.4774,124
495,0.0001,247.8
496,1.0001,229.3
497,0.9676,208.8
498,1.0001,210.6
499,0.0001,210.2
500,0.3136,225.9
501,0.0001,202.8
502,0.0001,83.9
503,0.4921,214.2
504,0.0001,243.8
505,0.2075,66.6
506,0.0001,221.7
507,0.0951,89.8
508,1.0001,245.9
509,0.0001,219.3
510,0.091,209.1
511,0.1536,199.3
512,0.7041,244.9
513,0.1149,76.2
514,0.4827,232.7
515,0.0001,232.7
516,0.4948,203.9
517,0.3194,174.6
518,0.8296,241.9
519,0.0001,232.2
520,0.0001,204.8
521,0.1884,242
522,0.791,206.8
523,0.0001,243.6
524,0.1573,237.7
525,0.9785,219
526,1.0001,226.6
527,0.0001,218.7
528,0.0001,195.9
529,0.0545,62.6
530,0.6981,207.1
531,0.3255,240.1
532,0.3551,264.2
533,0.0001,212.8
534,1.0001,225.9
535,0.0001,74
536,0.1401,71.7
537,0.0001,237.9
538,0.0001,225.4
539,0.1343,243.2
540,0.0001,194
541,0.0236,229
542,1.0001,268.3
543,0.421,225.2
544,0.8464,222.1
545,0.1498,219.1
546,0.2668,223.5
547,0.0001,215.9
548,0.8657,238.5
549,0.0001,240.5
550,0.6812,229
551,0.1182,245.7
552,0.1569,240
553,1.0001,246.8
554,0.1644,234.7
555,0.0001,225.7
556,0.0001,244.4
557,0.0001,210.1
558,0.8552,219
559,0.9623,224.7
560,0.0001,222.5
561,0.0001,75.1
562,0.2412,232.6
563,0.0214,116.8
564,0.0001,226.1
565,0.852,222
566,0.0349,229.9
567,1.0001,248.1
568,0.0001,59.5
569,0.0001,224.7
570,0.0001,212.5
571,0.1093,255.4
572,0.3219,208.4
573,1.0001,217.4
574,0.0001,215.3
575,0.9012,235.3
576,0.1964,137.6
577,0.9272,211
578,0.0001,249.5
579,0.0001,225.9
580,0.9713,223.7
581,0.0001,235
582,0.2273,227.9
583,0.699,225.7
584,0.0001,216.9
585,0.0001,222.7
586,0.558,225.5
587,0.2179,216.6
588,0.0001,234.5
589,0.0001,143.5
590,0.2391,233.7
591,0.0001,237.8
592,0.4848,208.6
593,0.7013,71.4
594,0.5082,202.1
595,0.0001,74.4
596,0.0481,234.6
597,0.0001,72.5
598,0.0001,218.2
599,0.0001,240
600,0.9931,220.4
601,1.0001,241.2
602,0.5168,240.1
603,0.3183,247
604,0.8424,228.3
605,0.6562,252.3
606,0.6342,74.2
607,0.4135,209.4
608,0.1723,211.1
609,0.6953,251.4
610,0.0001,213.2
611,0.1197,237.9
612,0.0094,193.4
613,0.0001,65.8
614,0.0775,79
615,0.0001,226.6
616,1.0001,253.7
617,0.0001,203.5
618,0.7636,220.3
619,0.5205,218.6
620,0.9786,223.6
621,0.0001,232.5
622,0.0226,245.9
623,0.5774,113.6
624,0.8111,227.8
625,0.0001,191.3
626,0.0001,240.4
627,1.0001,235.2
628,0.5421,200.6
629,0.0001,220.7
630,0.9396,232.5
631,0.0001,207.3
632,0.0001,73.6
633,0.3075,232.1
634,0.0816,240.4
635,0.1442,221.8
636,0.0001,229.9
637,0.0923,233.6
638,0.5702,205.6
639,0.1987,198.1
640,1.0001,222.1
641,0.2497,231.7
642,0.3286,213.2
643,0.0001,251.5
644,0.5905,223.1
645,0.0627,220.1
646,0.3281,212.2
647,0.2299,229.4
648,0.0666,234.3
649,0.0001,202.1
650,0.0001,238.7
651,0.0033,70.4
652,0.0001,190.1
653,0.676,212.7
654,0.0001,220.3
655,0.0001,228.5
656,0.2217,79.6
657,0.0001,236
658,0.1551,66.7
659,0.0001,64.8
660,0.8643,241
661,0.0001,209
662,0.3428,240.6
663,0.0001,85.1
664,0.0001,199.5
665,0.8705,56.5
666,0.0096,251.6
667,0.9138,150.5
668,1.0001,217
669,0.2378,221.6
670,0.9001,239.9
