trial_number,learning_rate,final_score
671,0.5861,191.9
672,0.8315,233
673,0.0001,259.2
674,0.2102,238
675,0.9026,62.6
676,0.6375,221
677,0.0001,234.1
678,0.3991,244.6
679,0.0001,222.5
680,1.0001,63.4
681,0.0001,215.8
682,0.2384,228.8
683,0.0001,211.1
684,0.0001,223.1
685,0.1842,219.3
686,0.4128,238
687,0.3138,206.6
688,0.6813,222.6
689,0.8273,242.3
690,0.0001,244.4
691,0.0001,181.5
692,0.2365,236.6
693,0.0947,171.4
694,0.2115,209.3
695,0.1657,75.4
696,0.0001,223.8
697,0.2075,192.5
698,0.5764,132
699,0.6135,198.8
700,0.1336,260.5
701,0.0087,197.8
702,0.6341,242.5
703,0.4937,252.4
704,0.0001,219.5
705,0.5185,237.7
706,0.0001,243.7
707,0.5711,207
708,0.0001,238.9
709,0.0001,229.3
710,0.4252,219.4
711,0.0001,241.1
712,0.8505,234.2
713,0.0001,238.7
714,0.0001,222
715,0.0237,237.5
716,0.2753,212.4
717,0.1777,227.1
718,0.0001,182
719,0.049,221.9
720,0.0076,237.5
721,0.3157,73.9
722,0.0001,217.2
723,0.0001,216.5
724,0.0001,227.4
725,0.6926,236.3
726,0.0001,83.1
727,0.1639,227
728,0.7253,193.7
729,0.0001,208.8
730,0.6834,225.8
731,0.0001,204.5
732,0.0001,223.4
733,0.8469,218
734,0.1739,238.2
735,0.0001,218.1
736,0.143,246.6
737,0.0001,250.6
738,0.5884,62.5
739,0.0001,219.3
740,0.0001,230.9
741,0.0001,229.3
742,0.0001,228.3
743,0.0001,226.5
744,1.0001,78.1
745,0.394,231.7
746,0.0001,213
747,1.0001,232.1
748,0.7812,210.7
749,0.0001,202
750,0.0001,178.1
751,0.1378,73.9
752,0.6676,222.9
753,0.2816,215.7
754,1.0001,203.3
755,0.7693,202.7
756,0.041,157.1
757,0.8968,216.7
758,0.0001,232.8
759,1.0001,226
760,0.0001,253.6
761,0.0001,206.4
762,0.6289,231.6
763,0.0001,238.7
764,0.9231,254.4
765,0.0001,250.3
766,0.0001,246.7
767,0.0001,233.6
768,0.5576,226.9
769,0.8211,233.4
770,0.0779,171.2
771,0.0001,222.3
772,0.2323,180.1
773,0.2443,239.5
774,0.0001,234.1
775,0.2653,229.7
776,0.5544,234.9
777,0.0001,68.2
778,0.0001,247.8
779,0.1429,208.3
780,0.0001,236.3
781,0.5992,233.6
782,0.0001,216.9
783,0.3791,232.1
784,0.8237,209.3
785,0.1121,202.1
786,0.0001,211.7
787,0.6816,251.7
788,0.0001,225.7
789,0.962,215.8
790,1.0001,227.6
791,0.7303,232.6
792,0.0001,226
793,0.8435,197
794,0.6916,231.8
795,0.6674,61.8
796,0.1848,201.4
797,0.0001,208.8
798,0.9331,78.6
799,0.0001,198.2
800,0.0001,246.9
801,0.0001,244.6
802,0.0001,231.7
803,0.1144,78.5
804,0.0001,226.2
805,0.6792,201.9
806,0.0001,238.2
807,0.0001,211.9
808,0.0001,245.6
809,0.0001,210.5
810,0.2157,196.2
811,0.0001,236.1
812,0.0001,247.2
813,0.0001,225.5
814,0.2799,237.1
815,0.5462,185.5
816,0.2392,248.7
817,0.0001,226.1
818,0.0001,223
819,0.6606,211
820,0.6144,262.8
821,0.0001,211.6
822,0.6704,244.7
823,0.0001,207.1
824,0.0734,250.5
825,0.0001,224.2
826,0.6155,232.2
827,0.0001,226.4
828,0.0001,209.5
829,0.245,245
830,0.7472,208.3
831,0.0294,229
832,0.1487,254.3
833,0.0001,239.7
834,1.0001,60.9
835,0.0001,84.1
836,0.4972,202.6
837,0.2275,225.7
838,0.6145,249.4
839,0.0001,230
840,0.0001,196.8
841,0.0001,253.4
842,0.0001,232.7
843,0.399,218.9
844,1.0001,241
845,0.3512,114
846,0.2244,244.7
847,0.0583,228
848,0.1451,81.9
849,1.0001,73.3
850,0.3107,244.3
851,0.1231,222.1
852,0.0001,241.8
853,0.0001,211.4
854,0.0001,228.4
855,0.0001,216.5
856,0.0001,215.9
857,0.0001,227.8
858,0.0001,213.9
859,0.0001,251.1
860,1.0001,229
861,0.0001,203.8
862,1.0001,235.9
863,0.7642,233.9
864,0.0001,189.1
865,0.106,205.7
866,0.0001,199.2
867,1.0001,232.9
868,0.0001,210.4
869,0.3276,243.1
870,0.0001,203.4
871,0.0001,248
872,0.5782,81.7
873,0.0001,193.4
874,0.2235,234.1
875,0.261,215.7
876,0.0092,59.5
877,0.0001,231
878,0.0001,220.9
879,0.7401,212.6
880,0.7099,233
881,0.0001,205
882,0.1257,249.6
883,0.9077,198.3
884,0.0001,211.4
885,0.1082,200.3
886,0.0001,241.7
887,0.0142,226.5
888,0.0001,229.2
889,0.0001,203.1
890,0.6741,239.9
891,0.0001,236.9
892,0.0652,256.9
893,0.0001,67.4
894,0.0001,235.3
895,0.0304,211.8
896,0.1013,212.8
897,0.0001,229.3
898,0.0846,236
899,0.8195,70
900,0.4499,261.2
901,0.0001,217.8
902,0.1864,231.8
903,0.1039,238.3
904,0.7779,207
905,1.0001,214.5
906,0.4638,210.1
907,0.7142,195
908,0.0001,61.5
909,0.1818,234.7
910,0.0001,236.4
911,0.0001,241.9
912,0.4729,240.5
913,0.1733,233.9
914,1.0001,222.7
915,0.037,233.2
916,0.9363,83.9
917,0.6647,69
918,0.842,240.5
919,0.6071,243.7
920,0.6834,250.8
921,1.0001,204.8
922,0.1474,211.4
923,0.0001,225
924,0.0092,241.8
925,0.2899,208.7
926,0.0001,64.4
927,0.1992,227.2
928,0.7936,61
929,1.0001,246.6
930,0.0001,235.2
931,0.0001,263.7
932,0.1328,186.2
933,0.0001,237.1
934,0.0001,214.4
935,0.6312,145.3
936,0.0001,236.5
937,0.6834,210.2
938,0.4495,238.8
939,0.1782,230
940,0.8014,243.2
941,0.4106,195
942,0.0001,248.4
943,0.0191,239.1
944,0.7674,204.4
945,0.854,249.3
946,1.0001,238.5
947,0.0409,233.5
948,0.4641,197.5
949,0.0001,244.8
950,0.6625,225
951,0.0001,220
952,0.0106,207.9
953,0.0001,227.1
954,0.3279,54.9
955,0.0001,226.2
956,0.0531,208.5
957,0.5195,207.9
958,0.0001,237.2
959,0.4421,243.9
960,0.6624,205.7
961,0.3093,242.4
962,1.0001,238.4
963,0.0001,196.9
964,0.8721,249.5
965,0.7893,238.8
966,0.0001,212.5
967,0.2529,260.2
968,0.0001,239.2
969,0.0001,258.1
970,0.1141,245
971,0.008,245.1
972,0.1353,235.5
973,0.4727,230
974,0.0001,167.3
975,0.0001,244.9
976,0.2951,92.5
977,0.0001,236.1
978,0.0722,252
979,0.6258,220.7
980,0.6622,206.3
981,0.0001,225.3
982,0.7312,247.8
983,0.0001,212.9
984,0.0696,231.9
985,0.0001,228.7
986,0.0001,215.5
987,0.0558,238.6
988,0.4147,217.2
989,0.2333,232.7
990,0.7548,70.9
991,0.3319,216.1
992,0.0001,71.1
993,0.2942,245.3
994,0.1213,234.6
995,0.5252,94.6
996,1.0001,225.3
997,0.058,185.5
998,0.0001,204.1
999,0.7453,84.8
1000,0.5537,234
1001,0.0001,245.7
1002,0.4367,243.3
1003,0.0001,228.6
1004,0.0001,208
1005,0.041,241.8
1006,0.0001,247
1007,0.0001,239.2
1008,0.5187,181.8
1009,0.0001,206.7
1010,0.774,227.4
1011,0.2762,219.9
1012,0.0675,197.5
1013,0.4144,225.2
1014,0.0001,242.3
1015,0.0001,237
1016,0.3515,214.6
1017,0.8009,212.9
1018,0.4604,246.8
1019,0.0001,242.9
1020,0.9078,240.5
1021,0.0001,215.8
1022,0.4297,197.8
1023,1.0001,238.1
1024,0.0253,214.8
1025,0.2353,274.3
1026,0.568,222.3
1027,0.0001,238.5
1028,0.5345,239.1
1029,0.3763,175.8
1030,0.2335,218.2
1031,0.4644,234.8
1032,0.0001,219.8
1033,1.0001,190.9
1034,0.4622,233.4
1035,0.0001,211.3
1036,0.2836,241.7
1037,0.582,221.9
1038,0.9025,62.7
1039,0.3014,250.8
1040,0.4171,237.1
1041,0.67,234.3
1042,0.2991,230.9
1043,0.8581,229.6
1044,1.0001,240.6
1045,0.9183,68.2
1046,0.0001,65.9
1047,0.0001,246
1048,0.3883,240.1
1049,0.0001,219.8
1050,0.0001,214
1051,0.0001,183.8
1052,0.412,212.6
1053,0.0001,240.6
1054,0.0001,218.9
1055,0.825,76.2
1056,0.0001,219.1
1057,0.6774,223.5
1058,0.0001,238.7
1059,0.0001,206.9
1060,0.0001,247.1
1061,0.0001,239.5
1062,0.8467,225.8
1063,0.0443,209.9
1064,0.0001,232.6
1065,0.1003,232.9
1066,1.0001,249.5
1067,0.2464,207.1
1068,0.3611,74.6
1069,0.3679,240.9
1070,0.0001,213.8
1071,0.0001,222.1
1072,0.2952,206.4
1073,0.0001,74.7
1074,0.1734,222
1075,0.3228,221.4
1076,0.0001,238.4
1077,0.7926,268.8
1078,0.6856,243.1
1079,0.6899,228.7
1080,0.5319,241.4
1081,0.0001,223.4
1082,0.0001,239.3
1083,0.7214,214.1
1084,0.024,226.4
1085,0.0001,208.5
1086,0.9012,239.8
1087,0.2183,237.7
1088,0.0001,215.7
1089,0.5896,260.7
1090,0.0001,219.1
1091,0.8556,224.3
1092,0.3786,213.6
1093,0.0001,214.4
1094,0.4414,229.1
1095,0.6389,229.9
1096,0.0226,108
1097,0.064,225.2
1098,0.1128,225.4
1099,0.8306,68.7
1100,0.1025,213.1
1101,0.0001,248.1
1102,0.2075,199.8
1103,0.1132,238.4
1104,0.0001,226.6
1105,0.0001,231.7
1106,0.4505,239
1107,0.0007,249.9
1108,0.2028,221.5
1109,0.1783,220.4
1110,0.1394,273.9
1111,0.0001,243.7
1112,0.0141,240.4
1113,0.5013,151
1114,0.0001,211.7
1115,0.0001,51.3
1116,0.3261,240.3
1117,0.4638,243
1118,0.0001,223
1119,0.2216,68.9
1120,0.0001,184.9
1121,0.0001,207.6
1122,0.1429,220.9
1123,0.9688,227.4
1124,0.0001,229.1
1125,0.0001,225.8
1126,0.0001,238.4
1127,0.0001,204.3
1128,0.0001,208.3
1129,0.6808,224.9
1130,0.7073,192.3
1131,0.7861,273.7
1132,0.0001,232.8
1133,0.0574,252.6
1134,0.1532,234.6
1135,0.0001,210.9
1136,0.0001,232.9
1137,0.127,223.6
1138,0.1477,217.3
1139,0.0307,175.9
1140,1.0001,230.3
1141,0.9203,230.5
1142,0.0001,207.5
1143,0.0463,234.6
1144,0.9288,237.6
1145,0.0001,212.1
1146,0.0001,242.8
1147,0.5291,266.6
1148,0.0001,214.1
1149,0.0001,204.6
1150,0.0001,67.2
1151,0.4353,193.1
1152,0.1782,236.9
1153,0.3497,242.9
1154,0.4443,220.2
1155,0.0001,215.8
1156,0.7084,226.5
1157,0.0001,123.6
1158,0.3047,221.3
1159,1.0001,220.5
1160,0.0001,235.3
1161,0.0001,212.5
1162,0.9337,221.6
1163,0.3399,233.1
1164,0.0388,73.4
1165,0.0151,232.9
1166,0.8859,81.7
1167,0.0001,75.8
1168,0.5793,218.7
1169,0.5544,80
1170,0.0001,230.2
1171,0.1339,122.5
1172,0.4812,205.3
1173,0.2307,217.8
1174,0.0001,221
1175,0.0001,225.5
1176,0.8448,222.1
1177,0.4173,238
1178,0.9665,62.1
1179,0.0001,216
1180,0.0001,216.6
1181,0.0001,240.7
1182,0.1326,226.7
1183,0.7273,229
1184,0.0001,212.1
1185,0.0001,227.4
1186,0.0001,203.9
1187,0.0001,234.2
1188,0.0001,50
1189,1.0001,219.7
1190,0.0001,242
1191,0.0001,229.7
1192,0.0001,231.8
1193,0.0001,245.2
1194,0.0001,232.7
1195,0.4834,236.4
1196,0.6997,222.1
1197,0.6782,59.3
1198,0.6066,220.2
1199,0.0001,58.9
1200,1.0001,140.6
1201,0.0001,239.9
1202,0.0001,214.6
1203,0.0001,208.5
1204,0.8038,219.2
1205,0.0001,216.7
1206,0.1156,241.8
1207,0.2021,250.7
1208,0.0001,203.8
1209,0.0001,236.6
1210,0.0737,216.9
1211,0.0765,234.3
1212,0.1672,208.6
1213,0.0001,222.3
1214,0.2434,243.8
1215,0.0001,214.7
1216,0.0001,216.3
1217,0.0001,221.4
1218,0.2774,231.2
1219,0.6713,229.5
1220,0.1758,228.8
1221,0.4385,72.4
1222,0.0172,244.7
1223,0.0574,228.4
1224,0.7383,249.9
1225,0.3241,241.7
1226,0.6877,227.4
1227,0.5322,232.1
1228,1.0001,232.8
1229,0.0138,215.5
1230,0.5667,181.6
1231,0.4857,207.1
1232,0.7325,214.9
1233,0.5116,220.8
1234,1.0001,221.5
1235,0.3686,218
1236,0.2235,234.6
1237,0.5343,220.1
1238,0.0001,216.6
1239,0.2832,229.5
1240,0.6797,240.4
1241,0.9367,79
1242,0.0001,239.7
1243,0.0001,215.2
1244,0.2266,223.4
1245,0.0001,215.5
1246,0.4624,205.1
1247,0.0001,221.4
1248,0.0001,236.4
1249,0.0001,193.2
1250,0.0001,240.4
1251,0.6712,224.7
1252,0.0001,264.4
1253,0.1865,245.5
1254,0.0001,204.1
1255,0.0001,231.9
1256,0.4461,236.1
1257,0.0001,213.5
1258,0.2089,215.4
1259,0.6084,220.5
1260,0.459,215.9
1261,0.0482,239.8
1262,0.0001,227.9
1263,0.819,208.9
1264,0.4257,191.2
1265,1.0001,230.1
1266,0.7527,233.7
1267,0.0001,234.2
1268,0.1185,222.8
1269,0.4383,229.8
1270,0.5854,218.1
1271,0.0727,203.8
1272,0.0001,73
1273,1.0001,207
1274,0.3494,133.6
1275,0.0001,209.7
1276,0.2989,228.4
