trial_number,learning_rate,final_score,,,,,,,,,,,,,,,,,
107,0.1585,241.5561904,,,,,,,,,,,,,,,,,
135,0.1555,74.13947417,,,,,,,,,,,,,,,,,
110,0.1545,405.097005,,,,,,,,,,,,,,,,,
105,0.1535,34.12241207,,,,,,,,,,,,,,,,,
154,0.1475,63.16065381,,,,,,,,,,,,,,,,,
182,0.1375,240.2760468,,,,,,,,,,,,,,,,,
167,0.136,45.71628528,,,,,,,,,,,,,,,,,
104,0.134,87.15341944,,,,,,,,,,,,,,,,,
158,0.1255,49.70309284,,,,,,,,,,,,,,,,,
86,0.1235,18.72886251,,,,,,,,,,,,,,,,,
57,0.122,75.38861145,,,,,,,,,,,,,,,,,
0,0.119,32.7147628,,,,,,,,,,,,,,,,,
84,0.116,321.6539056,,,,,,,,,,,,,,,,,
125,0.115,51.97233642,,,,,,,,,,,,,,,,,
175,0.111,57.32435934,,,,,,,,,,,,,,,,,
95,0.1075,54.08673282,,,,,,,,,,,,,,,,,
12,0.1065,156.2745286,,,,,,,,,,,,,,,,,
85,0.1065,47.28820388,,,,,,,,,,,,,,,,,
121,0.105,40.0883683,,,,,,,,,,,,,,,,,
160,0.1045,68.30122208,,,,,,,,,,,,,,,,,
126,0.1035,44.72771088,,,,,,,,,,,,,,,,,
98,0.1,60.83295567,,,,,,,,,,,,,,,,,
197,0.1,274.6351955,,,,,,,,,,,,,,,,,
14,0.0935,261.3859482,,,,,,,,,,,,,,,,,
113,0.093,274.5738491,,,,,,,,,,,,,,,,,
11,0.09,372.3370663,,,,,,,,,,,,,,,,,
22,0.09,55.55583426,,,,,,,,,,,,,,,,,
115,0.088,187.6514343,,,,,,,,,,,,,,,,,
37,0.086,308.7153638,,,,,,,,,,,,,,,,,
45,0.085,238.1226088,,,,,,,,,,,,,,,,,
166,0.0845,243.2245945,,,,,,,,,,,,,,,,,
186,0.084,46.12925343,,,,,,,,,,,,,,,,,
144,0.0835,217.2923203,,,,,,,,,,,,,,,,,
190,0.0745,20.87817966,,,,,,,,,,,,,,,,,
141,0.074,118.2047025,,,,,,,,,,,,,,,,,
162,0.073,383.5335422,,,,,,,,,,,,,,,,,
90,0.0685,43.51108131,,,,,,,,,,,,,,,,,
88,0.0675,53.4129459,,,,,,,,,,,,,,,,,
78,0.064,131.5023059,,,,,,,,,,,,,,,,,
99,0.0635,161.2453454,,,,,,,,,,,,,,,,,
76,0.0615,54.38677992,,,,,,,,,,,,,,,,,
143,0.059,143.5966034,,,,,,,,,,,,,,,,,
17,0.0565,29.76650543,,,,,,,,,,,,,,,,,
79,0.0505,40.53787058,,,,,,,,,,,,,,,,,
75,0.049,76.71281387,,,,,,,,,,,,,,,,,
21,0.043,166.9833836,,,,,,,,,,,,,,,,,
156,0.0405,204.5071017,,,,,,,,,,,,,,,,,
130,0.0395,87.03406961,,,,,,,,,,,,,,,,,
42,0.0355,34.74940657,,,,,,,,,,,,,,,,,
28,0.035,93.01592503,,,,,,,,,,,,,,,,,
39,0.033,168.089723,,,,,,,,,,,,,,,,,
177,0.0315,142.2641496,,,,,,,,,,,,,,,,,
61,0.03,101.9564144,,,,,,,,,,,,,,,,,
120,0.0295,17.32551433,,,,,,,,,,,,,,,,,
23,0.0285,151.1494359,,,,,,,,,,,,,,,,,
100,0.028,28.68623618,,,,,,,,,,,,,,,,,
59,0.027,68.47753149,,,,,,,,,,,,,,,,,
185,0.026,190.8428715,,,,,,,,,,,,,,,,,
6,0.021,45.90103559,,,,,,,,,,,,,,,,,
155,0.0205,42.51521032,,,,,,,,,,,,,,,,,
96,0.02,155.6265509,,,,,,,,,,,,,,,,,
3,0.016,29.13629257,,,,,,,,,,,,,,,,,
43,0.0135,38.15215109,,,,,,,,,,,,,,,,,
172,0.0025,19.40955561,,,,,,,,,,,,,,,,,
8,0.0005,14.68459753,,,,,,,,,,,,,,,,,
16,0.0005,18.82649939,,,,,,,,,,,,,,,,,
18,0.0005,21.19107391,,,,,,,,,,,,,,,,,
25,0.0005,23.20278333,,,,,,,,,,,,,,,,,
41,0.0005,15.60178538,,,,,,,,,,,,,,,,,
47,0.0005,16.35177576,,,,,,,,,,,,,,,,,
49,0.0005,20.6271787,,,,,,,,,,,,,,,,,
51,0.0005,17.30154885,,,,,,,,,,,,,,,,,
53,0.0005,19.20622565,,,,,,,,,,,,,,,,,
62,0.0005,23.39582578,,,,,,,,,,,,,,,,,
63,0.0005,30.71052382,,,,,,,,,,,,,,,,,
69,0.0005,21.17575271,,,,,,,,,,,,,,,,,
71,0.0005,17.76873802,,,,,,,,,,,,,,,,,
87,0.0005,28.49359528,,,,,,,,,,,,,,,,,
92,0.0005,13.99262641,,,,,,,,,,,,,,,,,
94,0.0005,20.86232074,,,,,,,,,,,,,,,,,
112,0.0005,15.22833061,,,,,,,,,,,,,,,,,
132,0.0005,19.70419064,,,,,,,,,,,,,,,,,
